Model,Fold,Validation Accuracy,Test Accuracy,Precision,Recall,F1-Score
SVM,1,0.8586,0.8557,"[0.87, 0.65, 0.0, 0.91]","[1.0, 0.53, 0.0, 0.87]","[0.93, 0.58, 0.0, 0.89]"
SVM,2,0.8484,0.8557,"[0.87, 0.65, 0.0, 0.91]","[1.0, 0.53, 0.0, 0.87]","[0.93, 0.58, 0.0, 0.89]"
SVM,3,0.8594,0.8557,"[0.87, 0.65, 0.0, 0.91]","[1.0, 0.53, 0.0, 0.87]","[0.93, 0.58, 0.0, 0.89]"
SVM,4,0.8609,0.8557,"[0.87, 0.65, 0.0, 0.91]","[1.0, 0.53, 0.0, 0.87]","[0.93, 0.58, 0.0, 0.89]"
SVM,5,0.8623,0.8557,"[0.87, 0.65, 0.0, 0.91]","[1.0, 0.53, 0.0, 0.87]","[0.93, 0.58, 0.0, 0.89]"
KNN,1,0.8752,0.873,"[0.89, 0.67, 0.61, 0.93]","[0.96, 0.55, 0.42, 0.92]","[0.93, 0.61, 0.5, 0.93]"
KNN,2,0.8575,0.8708,"[0.9, 0.65, 0.6, 0.92]","[0.96, 0.54, 0.4, 0.93]","[0.93, 0.59, 0.48, 0.93]"
KNN,3,0.8711,0.8787,"[0.9, 0.69, 0.65, 0.92]","[0.97, 0.55, 0.43, 0.93]","[0.93, 0.61, 0.52, 0.93]"
KNN,4,0.8764,0.8769,"[0.9, 0.68, 0.6, 0.94]","[0.97, 0.55, 0.46, 0.92]","[0.93, 0.61, 0.52, 0.93]"
KNN,5,0.871,0.8645,"[0.9, 0.64, 0.52, 0.92]","[0.95, 0.54, 0.38, 0.92]","[0.93, 0.58, 0.44, 0.92]"
DecisionTree,1,0.8892,0.8908,"[0.89, 0.76, 0.68, 0.95]","[0.99, 0.55, 0.5, 0.93]","[0.94, 0.64, 0.58, 0.94]"
DecisionTree,2,0.8692,0.8908,"[0.9, 0.77, 0.63, 0.95]","[0.98, 0.56, 0.56, 0.93]","[0.94, 0.65, 0.6, 0.94]"
DecisionTree,3,0.8813,0.889,"[0.9, 0.74, 0.71, 0.94]","[0.98, 0.53, 0.55, 0.93]","[0.94, 0.62, 0.62, 0.93]"
DecisionTree,4,0.8896,0.8887,"[0.9, 0.76, 0.64, 0.95]","[0.98, 0.53, 0.57, 0.93]","[0.94, 0.62, 0.6, 0.94]"
DecisionTree,5,0.8899,0.8923,"[0.9, 0.76, 0.68, 0.94]","[0.98, 0.55, 0.58, 0.93]","[0.94, 0.64, 0.63, 0.94]"
